JobID,JobTitle,RequiredCompetencies,Description
J001,Data Analyst,C001;C002;C003;C020;C024;C029;C030;C033;C034;C037;C038;C052;C053;C054;C066;C067;C068;C069;C343;C344;C354,Analyser et visualiser des données pour produire des insights métier actionnables
J002,Data Scientist,C001;C020;C029;C033;C081;C082;C087;C089;C091;C115;C120;C121;C133;C137;C232;C259;C272;C342;C343;C354;C359,Construire des modèles prédictifs et développer des solutions data-driven complètes
J003,Machine Learning Engineer,C081;C082;C087;C089;C091;C093;C094;C115;C116;C120;C133;C134;C137;C138;C141;C142;C143;C144;C145;C159,Développer et déployer des modèles ML en production avec performance optimale
J004,NLP Engineer,C231;C232;C239;C240;C242;C252;C253;C257;C258;C259;C260;C272;C273;C277;C278;C301;C308;C311;C324;C115,Concevoir des solutions NLP pour analyse et traitement du langage naturel
J005,Data Engineer,C001;C017;C018;C020;C052;C053;C054;C055;C056;C057;C058;C059;C060;C061;C062;C064;C076;C077;C078;C141,Construire et maintenir des pipelines de données robustes et scalables
J006,Business Intelligence Analyst,C029;C030;C033;C034;C037;C040;C041;C047;C048;C049;C052;C053;C066;C067;C068;C069;C070;C343;C344;C354,Créer des dashboards et rapports pour supporter les décisions business
J007,AI Research Scientist,C081;C091;C093;C104;C105;C108;C133;C136;C159;C160;C179;C180;C391;C405;C410;C422;C423;C428;C342;C359,Mener des recherches avancées en IA et publier des innovations scientifiques
J008,Deep Learning Engineer,C104;C105;C106;C107;C108;C109;C110;C111;C112;C113;C114;C142;C143;C145;C159;C260;C261;C262;C263;C406,Développer des architectures de réseaux de neurones profonds pour applications complexes
J009,Computer Vision Engineer,C161;C162;C179;C180;C185;C186;C187;C218;C104;C105;C089;C091;C033;C046;C137;C138;C142;C143;C159;C180,Créer des solutions de vision par ordinateur pour traitement et analyse d'images
J010,MLOps Engineer,C141;C142;C143;C144;C145;C059;C060;C076;C081;C089;C091;C115;C120;C133;C057;C058;C077;C078;C159;C160,Industrialiser le déploiement et monitoring des modèles ML en production
J011,Data Architect,C017;C018;C052;C053;C054;C055;C056;C057;C058;C059;C060;C076;C077;C078;C001;C020;C029;C342;C391;C393,Concevoir l'architecture data et les systèmes de gestion de données d'entreprise
J012,Statistician,C331;C332;C333;C342;C343;C344;C346;C347;C353;C354;C359;C360;C367;C372;C375;C387;C422;C423;C428;C001;C029;C030,Appliquer des méthodes statistiques rigoureuses pour analyse et inférence
J013,Quantitative Analyst,C342;C343;C353;C354;C359;C367;C375;C387;C391;C392;C405;C410;C414;C418;C421;C422;C001;C029;C081;C082,Développer des modèles quantitatifs pour finance et gestion des risques
J014,Applied Scientist,C081;C089;C091;C133;C137;C159;C179;C180;C232;C259;C272;C342;C353;C359;C391;C405;C410;C422;C428;C429,Appliquer la recherche scientifique pour résoudre des problèmes business concrets
J015,Analytics Engineer,C001;C017;C018;C020;C052;C053;C054;C059;C060;C061;C141;C029;C033;C066;C076;C077;C081;C137;C342;C343,Transformer les données brutes en insights via pipelines analytiques robustes
